ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,Direction,Speed,Acceleration,AngularSpeed,TotalDistance,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
0,T_1,431,106,115,7,37243,-1946868.264,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_2,370,149,54,4,37243,-1946868.264,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_3,323,197,7,-4,37243,-1946868.264,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_4,337,257,21,0,37243,-1946868.264,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_5,559,315,255,6,37243,-1946868.264,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_6,515,418,205,1,37243,-1946868.264,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_7,348,476,40,7,37243,-1946868.264,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_8,294,524,-18,3,37243,-1946868.264,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_9,128,557,-182,-14,37243,-1946868.264,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_10,328,621,14,0,37243,-1946868.264,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_11,233,675,-83,0,37243,-1946868.264,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_12,280,778,-34,-3,37243,-1946868.264,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_13,170,840,-146,11,37243,-1946868.264,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_14,442,870,124,-11,37243,-1946868.264,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_15,52,930,-258,-3,37243,-1946868.264,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_16,371,982,59,1,37243,-1946868.264,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_17,521,1043,207,14,37243,-1946868.264,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_18,957,49,-187,2,37243,-1946868.264,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_19,1099,116,-47,15,37243,-1946868.264,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_20,892,153,-256,-2,37243,-1946868.264,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_21,1254,206,108,1,37243,-1946868.264,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_22,1018,251,-124,-8,37243,-1946868.264,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_23,1105,314,-35,5,37243,-1946868.264,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_24,1190,417,50,2,37243,-1946868.264,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_25,1108,483,-40,16,37243,-1946868.264,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_26,1277,535,125,14,37243,-1946868.264,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_27,1369,582,221,7,37243,-1946868.264,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_28,1265,619,121,-4,37243,-1946868.264,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_29,1112,686,-34,13,37243,-1946868.264,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_30,1154,794,10,9,37243,-1946868.264,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_31,957,838,-189,3,37243,-1946868.264,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_32,1297,876,155,-5,37243,-1946868.264,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_33,1016,930,-134,1,37243,-1946868.264,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_34,1281,993,135,10,37243,-1946868.264,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_35,1060,1031,-82,-8,37243,-1946868.264,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:07:09,554,0,0,None
0,T_0,307,58,-5,13,37244,-1946728.706,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_1,431,106,115,7,37244,-1946728.706,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_2,370,149,54,4,37244,-1946728.706,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_3,323,197,7,-4,37244,-1946728.706,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_4,337,257,21,0,37244,-1946728.706,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_5,559,315,255,6,37244,-1946728.706,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_6,515,418,205,1,37244,-1946728.706,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_7,348,476,40,7,37244,-1946728.706,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_8,294,524,-18,3,37244,-1946728.706,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_9,128,557,-182,-14,37244,-1946728.706,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_10,328,621,14,0,37244,-1946728.706,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_11,233,675,-83,0,37244,-1946728.706,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_12,280,778,-34,-3,37244,-1946728.706,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_13,170,840,-146,11,37244,-1946728.706,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_14,442,870,124,-11,37244,-1946728.706,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_15,52,930,-258,-3,37244,-1946728.706,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_16,371,982,59,1,37244,-1946728.706,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_17,521,1043,207,14,37244,-1946728.706,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_18,957,49,-187,2,37244,-1946728.706,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_19,1099,116,-47,15,37244,-1946728.706,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_20,892,153,-256,-2,37244,-1946728.706,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_21,1254,206,108,1,37244,-1946728.706,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_22,1018,251,-124,-8,37244,-1946728.706,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_23,1105,314,-35,5,37244,-1946728.706,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_24,1190,417,50,2,37244,-1946728.706,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_25,1108,483,-40,16,37244,-1946728.706,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_26,1277,535,125,14,37244,-1946728.706,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_27,1369,582,221,7,37244,-1946728.706,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_28,1265,619,121,-4,37244,-1946728.706,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:07:09,695,0,0,None
0,T_29,1112,686,-34,13,37244,-1946728.706,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:07:09,696,0,0,None
0,T_30,1154,794,10,9,37244,-1946728.706,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:07:09,696,0,0,None
0,T_31,957,838,-189,3,37244,-1946728.706,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:07:09,696,0,0,None
0,T_32,1297,876,155,-5,37244,-1946728.706,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:07:09,696,0,0,None
0,T_33,1016,930,-134,1,37244,-1946728.706,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:07:09,696,0,0,None
0,T_34,1281,993,135,10,37244,-1946728.706,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:07:09,696,0,0,None
0,T_35,1060,1031,-82,-8,37244,-1946728.706,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:07:09,696,0,0,None
0,T_0,307,58,-5,13,37245,-1946588.956,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:07:09,834,0,0,None
0,T_1,431,106,115,7,37245,-1946588.956,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:07:09,834,0,0,None
0,T_2,370,149,54,4,37245,-1946588.956,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:07:09,834,0,0,None
0,T_3,323,197,7,-4,37245,-1946588.956,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:07:09,834,0,0,None
0,T_4,337,257,21,0,37245,-1946588.956,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:07:09,834,0,0,None
0,T_5,559,315,255,6,37245,-1946588.956,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:07:09,834,0,0,None
0,T_6,515,418,205,1,37245,-1946588.956,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:07:09,834,0,0,None
0,T_7,348,476,40,7,37245,-1946588.956,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:07:09,834,0,0,None
0,T_8,294,524,-18,3,37245,-1946588.956,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:07:09,834,0,0,None
0,T_9,128,557,-182,-14,37245,-1946588.956,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:07:09,834,0,0,None
0,T_10,328,621,14,0,37245,-1946588.956,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_11,233,675,-83,0,37245,-1946588.956,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_12,280,778,-34,-3,37245,-1946588.956,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_13,170,840,-146,11,37245,-1946588.956,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_14,442,870,124,-11,37245,-1946588.956,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_15,52,930,-258,-3,37245,-1946588.956,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_16,371,982,59,1,37245,-1946588.956,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_17,521,1043,207,14,37245,-1946588.956,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_18,957,49,-187,2,37245,-1946588.956,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_19,1099,116,-47,15,37245,-1946588.956,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_20,892,153,-256,-2,37245,-1946588.956,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_21,1254,206,108,1,37245,-1946588.956,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_22,1018,251,-124,-8,37245,-1946588.956,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_23,1105,314,-35,5,37245,-1946588.956,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_24,1190,417,50,2,37245,-1946588.956,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_25,1108,483,-40,16,37245,-1946588.956,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_26,1277,535,125,14,37245,-1946588.956,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_27,1369,582,221,7,37245,-1946588.956,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_28,1265,619,121,-4,37245,-1946588.956,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_29,1112,686,-34,13,37245,-1946588.956,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_30,1154,794,10,9,37245,-1946588.956,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_31,957,838,-189,3,37245,-1946588.956,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_32,1297,876,155,-5,37245,-1946588.956,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_33,1016,930,-134,1,37245,-1946588.956,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_34,1281,993,135,10,37245,-1946588.956,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_35,1060,1031,-82,-8,37245,-1946588.956,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:07:09,835,0,0,None
0,T_0,307,58,-5,13,37246,-1946449.041,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:07:09,974,0,0,None
0,T_1,431,106,115,7,37246,-1946449.041,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_2,370,149,54,4,37246,-1946449.041,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_3,323,197,7,-4,37246,-1946449.041,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_4,337,257,21,0,37246,-1946449.041,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_5,559,315,255,6,37246,-1946449.041,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_6,515,418,205,1,37246,-1946449.041,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_7,348,476,40,7,37246,-1946449.041,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_8,294,524,-18,3,37246,-1946449.041,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_9,128,557,-182,-14,37246,-1946449.041,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_10,328,621,14,0,37246,-1946449.041,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_11,233,675,-83,0,37246,-1946449.041,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_12,280,778,-34,-3,37246,-1946449.041,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_13,170,840,-146,11,37246,-1946449.041,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_14,442,870,124,-11,37246,-1946449.041,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_15,52,930,-258,-3,37246,-1946449.041,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_16,371,982,59,1,37246,-1946449.041,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_17,521,1043,207,14,37246,-1946449.041,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_18,957,49,-187,2,37246,-1946449.041,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_19,1099,116,-47,15,37246,-1946449.041,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_20,892,153,-256,-2,37246,-1946449.041,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_21,1254,206,108,1,37246,-1946449.041,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_22,1018,251,-124,-8,37246,-1946449.041,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_23,1105,314,-35,5,37246,-1946449.041,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_24,1190,417,50,2,37246,-1946449.041,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_25,1108,483,-40,16,37246,-1946449.041,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_26,1277,535,125,14,37246,-1946449.041,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_27,1369,582,221,7,37246,-1946449.041,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_28,1265,619,121,-4,37246,-1946449.041,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_29,1112,686,-34,13,37246,-1946449.041,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_30,1154,794,10,9,37246,-1946449.041,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_31,957,838,-189,3,37246,-1946449.041,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_32,1297,876,155,-5,37246,-1946449.041,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_33,1016,930,-134,1,37246,-1946449.041,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_34,1281,993,135,10,37246,-1946449.041,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_35,1060,1031,-82,-8,37246,-1946449.041,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:07:09,975,0,0,None
0,T_0,307,58,-5,13,37247,-1946310.137,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_1,431,106,115,7,37247,-1946310.137,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_2,370,149,54,4,37247,-1946310.137,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_3,323,197,7,-4,37247,-1946310.137,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_4,337,257,21,0,37247,-1946310.137,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_5,559,315,255,6,37247,-1946310.137,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_6,515,418,205,1,37247,-1946310.137,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_7,348,476,40,7,37247,-1946310.137,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_8,294,524,-18,3,37247,-1946310.137,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_9,128,557,-182,-14,37247,-1946310.137,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_10,328,621,14,0,37247,-1946310.137,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_11,233,675,-83,0,37247,-1946310.137,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_12,280,778,-34,-3,37247,-1946310.137,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_13,170,840,-146,11,37247,-1946310.137,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_14,442,870,124,-11,37247,-1946310.137,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_15,52,930,-258,-3,37247,-1946310.137,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_16,371,982,59,1,37247,-1946310.137,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_17,521,1043,207,14,37247,-1946310.137,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_18,957,49,-187,2,37247,-1946310.137,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_19,1099,116,-47,15,37247,-1946310.137,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_20,892,153,-256,-2,37247,-1946310.137,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_21,1254,206,108,1,37247,-1946310.137,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_22,1018,251,-124,-8,37247,-1946310.137,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_23,1105,314,-35,5,37247,-1946310.137,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_24,1190,417,50,2,37247,-1946310.137,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_25,1108,483,-40,16,37247,-1946310.137,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_26,1277,535,125,14,37247,-1946310.137,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_27,1369,582,221,7,37247,-1946310.137,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_28,1265,619,121,-4,37247,-1946310.137,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_29,1112,686,-34,13,37247,-1946310.137,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_30,1154,794,10,9,37247,-1946310.137,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_31,957,838,-189,3,37247,-1946310.137,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_32,1297,876,155,-5,37247,-1946310.137,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_33,1016,930,-134,1,37247,-1946310.137,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_34,1281,993,135,10,37247,-1946310.137,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_35,1060,1031,-82,-8,37247,-1946310.137,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:07:10,113,0,0,None
0,T_0,307,58,-5,13,37248,-1946170.723,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:07:10,252,0,0,None
0,T_1,431,106,115,7,37248,-1946170.723,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_2,370,149,54,4,37248,-1946170.723,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_3,323,197,7,-4,37248,-1946170.723,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_4,337,257,21,0,37248,-1946170.723,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_5,559,315,255,6,37248,-1946170.723,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_6,515,418,205,1,37248,-1946170.723,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_7,348,476,40,7,37248,-1946170.723,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_8,294,524,-18,3,37248,-1946170.723,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_9,128,557,-182,-14,37248,-1946170.723,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_10,328,621,14,0,37248,-1946170.723,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_11,233,675,-83,0,37248,-1946170.723,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_12,280,778,-34,-3,37248,-1946170.723,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_13,170,840,-146,11,37248,-1946170.723,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_14,442,870,124,-11,37248,-1946170.723,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_15,52,930,-258,-3,37248,-1946170.723,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_16,371,982,59,1,37248,-1946170.723,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_17,521,1043,207,14,37248,-1946170.723,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_18,957,49,-187,2,37248,-1946170.723,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_19,1099,116,-47,15,37248,-1946170.723,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:07:10,253,0,0,None
